epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3775,1.6492,2.16869,1.32449,0.96453,0.98062,0.98258,0.57376,1.30051,1.13368,1.15272,0.000552035,0.000552035,0.000552035
2,31.445,1.33043,1.17085,1.13535,0.98384,0.98948,0.98572,0.59759,1.27505,0.85847,1.13842,0.00108577,0.00108577,0.00108577
3,45.4506,1.33616,1.01263,1.15512,0.98345,0.98879,0.99046,0.60542,1.2509,0.71662,1.12053,0.0015975,0.0015975,0.0015975
4,59.1176,1.29586,0.89941,1.12545,0.96458,0.98203,0.98564,0.58625,1.26797,0.70162,1.13988,0.00156798,0.00156798,0.00156798
5,72.6738,1.27945,0.80588,1.11454,0.99295,0.9951,0.99306,0.63598,1.1421,0.61155,1.07823,0.00153497,0.00153497,0.00153497
6,86.0627,1.21899,0.74584,1.09459,0.99105,0.99346,0.99215,0.63246,1.1747,0.59248,1.08374,0.00150197,0.00150197,0.00150197
7,100.247,1.23333,0.70469,1.10078,0.99439,0.9951,0.99243,0.64622,1.12744,0.54995,1.06165,0.00146896,0.00146896,0.00146896
8,113.733,1.21184,0.67208,1.08408,0.99387,0.9951,0.99223,0.61492,1.20861,0.54176,1.09396,0.00143595,0.00143595,0.00143595
9,127.822,1.19842,0.67912,1.08664,0.99433,0.9951,0.99231,0.64826,1.15419,0.53482,1.08273,0.00140295,0.00140295,0.00140295
10,141.661,1.18494,0.66905,1.07345,0.9875,0.98693,0.98569,0.63685,1.1346,0.52461,1.0593,0.00136994,0.00136994,0.00136994
11,155.874,1.20009,0.6756,1.08955,0.99102,0.99183,0.99059,0.64718,1.11024,0.53744,1.04987,0.00133693,0.00133693,0.00133693
12,170.595,1.1467,0.64111,1.06835,0.99496,0.99673,0.99273,0.65282,1.09657,0.53098,1.04026,0.00130393,0.00130393,0.00130393
13,184.713,1.14132,0.63628,1.06223,0.99445,0.9951,0.99326,0.6686,1.0895,0.49877,1.03142,0.00127092,0.00127092,0.00127092
14,199.233,1.13392,0.62461,1.05806,0.99604,0.99673,0.99417,0.6725,1.06689,0.4938,1.02934,0.00123791,0.00123791,0.00123791
15,213.187,1.13248,0.60867,1.05776,0.99443,0.9951,0.99219,0.66589,1.07251,0.49063,1.02658,0.00120491,0.00120491,0.00120491
16,227.888,1.12476,0.60912,1.05412,0.99271,0.99346,0.99303,0.65117,1.10908,0.52102,1.05416,0.0011719,0.0011719,0.0011719
17,242.518,1.11484,0.60835,1.04618,0.99429,0.9951,0.99211,0.68357,1.06111,0.47721,1.02324,0.00113889,0.00113889,0.00113889
18,256.733,1.1125,0.58738,1.04845,0.99437,0.9951,0.99347,0.67518,1.08812,0.48979,1.03546,0.00110589,0.00110589,0.00110589
19,271.723,1.08798,0.57506,1.04119,0.9959,0.99673,0.99366,0.65147,1.11764,0.48596,1.0461,0.00107288,0.00107288,0.00107288
20,286.687,1.06859,0.56165,1.03863,0.99605,0.99673,0.99286,0.68629,1.0537,0.4724,1.01746,0.00103987,0.00103987,0.00103987
21,301.205,1.07881,0.5745,1.03097,0.9944,0.9951,0.99334,0.67518,1.06322,0.46692,1.02157,0.00100687,0.00100687,0.00100687
22,315.146,1.04407,0.54521,1.01768,0.9959,0.99673,0.9944,0.67797,1.05444,0.46567,1.0183,0.000973861,0.000973861,0.000973861
23,330.083,1.06208,0.5634,1.03781,0.99451,0.9951,0.99142,0.65668,1.15554,0.48717,1.08473,0.000940855,0.000940855,0.000940855
24,345.26,1.06644,0.55496,1.04065,0.9959,0.99673,0.99479,0.68643,1.06311,0.46231,1.01952,0.000907848,0.000907848,0.000907848
25,360.251,1.06819,0.53773,1.03478,0.99456,0.9951,0.99362,0.68022,1.06579,0.46143,1.02602,0.000874842,0.000874842,0.000874842
26,374.786,1.02377,0.53014,1.01443,0.99278,0.99346,0.99012,0.70147,1.02357,0.43637,1.00307,0.000841835,0.000841835,0.000841835
27,390.012,1.03017,0.54069,1.01927,0.99269,0.99346,0.99295,0.68133,1.05238,0.45272,1.02001,0.000808828,0.000808828,0.000808828
28,404.85,1.02254,0.51877,1.01184,0.99456,0.9951,0.99417,0.68123,1.03291,0.43793,1.00712,0.000775822,0.000775822,0.000775822
29,420.159,1.02435,0.52293,1.02215,0.99443,0.9951,0.99341,0.6868,1.03606,0.44634,1.00415,0.000742815,0.000742815,0.000742815
30,434.822,1.02515,0.51284,1.00091,0.99627,0.99673,0.99405,0.69417,1.00291,0.43268,0.999,0.000709809,0.000709809,0.000709809
31,450.329,1.00013,0.51126,1.00807,0.99598,0.99673,0.99373,0.70293,1.01114,0.43363,0.99447,0.000676802,0.000676802,0.000676802
32,464.985,1.01846,0.5149,1.01242,0.99124,0.99183,0.98943,0.69071,1.01398,0.43415,0.99918,0.000643795,0.000643795,0.000643795
33,480.442,1.00116,0.50269,1.00416,0.99584,0.99673,0.99438,0.70162,0.99855,0.42698,0.9888,0.000610789,0.000610789,0.000610789
34,495.058,0.98687,0.50325,0.99442,0.99586,0.99673,0.9949,0.69764,1.01758,0.4215,0.99594,0.000577782,0.000577782,0.000577782
35,510.157,0.98679,0.49551,0.9966,0.9961,0.99673,0.99492,0.71424,0.99928,0.41899,0.99026,0.000544776,0.000544776,0.000544776
36,525.023,0.97356,0.49624,0.99185,0.99572,0.99673,0.99492,0.70692,0.99915,0.41037,0.99548,0.000511769,0.000511769,0.000511769
37,540.479,0.97361,0.48457,0.99604,0.99612,0.99673,0.99479,0.70621,0.99928,0.40607,0.98862,0.000478762,0.000478762,0.000478762
38,555.621,0.95915,0.48498,0.98552,0.99576,0.99673,0.99492,0.70578,0.98143,0.41397,0.98464,0.000445756,0.000445756,0.000445756
39,570.548,0.96227,0.49145,0.99365,0.99599,0.99673,0.9948,0.7123,0.98882,0.41069,0.98854,0.000412749,0.000412749,0.000412749
40,585.438,0.94663,0.47763,0.98527,0.9932,0.99098,0.99371,0.70854,0.98517,0.41645,0.98572,0.000379743,0.000379743,0.000379743
41,625.821,0.93082,0.41907,0.99493,0.99258,0.99346,0.99286,0.71401,0.98113,0.40877,0.989,0.000346736,0.000346736,0.000346736
42,640.319,0.92036,0.41132,0.99382,0.99268,0.99346,0.99263,0.71905,0.96692,0.40965,0.98371,0.000313729,0.000313729,0.000313729
43,654.705,0.91077,0.40283,0.9866,0.99228,0.99346,0.99234,0.72298,0.9681,0.39169,0.98365,0.000280723,0.000280723,0.000280723
44,669.06,0.90462,0.40188,0.98328,0.99627,0.99661,0.99489,0.72919,0.95419,0.38629,0.97726,0.000247716,0.000247716,0.000247716
45,683.602,0.89732,0.39863,0.97752,0.99278,0.99346,0.99217,0.72675,0.95008,0.38813,0.97655,0.00021471,0.00021471,0.00021471
46,698.492,0.88305,0.3948,0.96999,0.99448,0.9951,0.99449,0.72652,0.959,0.38316,0.98083,0.000181703,0.000181703,0.000181703
47,713.501,0.87712,0.38747,0.95975,0.99566,0.99673,0.99487,0.7304,0.93656,0.38401,0.97196,0.000148696,0.000148696,0.000148696
48,728.843,0.86774,0.38279,0.96772,0.9957,0.99673,0.99489,0.73054,0.93911,0.38369,0.97236,0.00011569,0.00011569,0.00011569
49,743.85,0.85925,0.37808,0.95934,0.9942,0.9951,0.99426,0.72871,0.9572,0.38129,0.97956,8.26832e-05,8.26832e-05,8.26832e-05
50,758.956,0.86168,0.37576,0.96714,0.99403,0.9951,0.99444,0.73161,0.94278,0.37939,0.97481,4.96766e-05,4.96766e-05,4.96766e-05
